PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
MBON-d3 left 9109799,DAN-k1 left 12871993,16,0
MBON-n1 left 15398730,MBON-e1 left 14082322,2,0
MBON-n1 left 15398730,DAN-k1 left 12871993,3,0
MBON-e1 left 14082322,DAN-k1 left 12871993,7,0
MBON-e1 left 14082322,MBON-n1 left 15398730,2,0
